x center,y center,width,height,confidence,ImageID,labelID,Area,boxID,predTag
0.8796,0.5859,0.1535,0.1262,0.9091,0,0,0.0194,0,1
0.13932499999999998,0.4084,0.15695,0.12949999999999995,0.9076,1,0,0.0,0,1
0.1387,0.43590000000000007,0.1588,0.13140000000000002,0.8993,2,0,0.0,0,1
0.2362,0.4645,0.2437,0.1928,0.7173,3,8,0.047,0,1
0.7855,0.5174,0.2346,0.1694,0.868,5,8,0.0397,0,1
0.7802,0.508525,0.247,0.2234500000000001,0.8743,6,0,0.0,0,1
0.7746,0.5651,0.2609,0.3394,0.8935,7,0,0.0885,0,1
0.13849999999999998,0.435875,0.2365,0.33405,0.9217,9,9,0.0,0,1
0.8599,0.498,0.1492,0.1188,0.9057,10,8,0.0177,0,1
0.1386,0.4374,0.1454,0.1189,0.9111,11,8,0.0173,0,1
0.1411,0.4535,0.1483,0.1203,0.8863,12,8,0.0178,0,1
0.8435,0.5465,0.1447,0.1223,0.9278,13,8,0.0177,0,1
0.8465,0.5285,0.1521,0.1187,0.9041,14,8,0.0181,0,1
0.8748,0.5181,0.1466,0.1166,0.9126,15,8,0.0171,0,1
0.1256,0.4576,0.1483,0.1208,0.9006,16,8,0.0179,0,1
0.4048,0.4042,0.6086,0.6162,0.8399,17,0,0.375,0,1
0.4716,0.4901,0.3748,0.8229,0.8643,18,4,0.0,0,1
0.3245,0.4951,0.5504,0.8214,0.8042,19,0,0.4522,0,1
0.5154,0.4935,0.4043,0.8173,0.8578,20,8,0.3304,0,1
0.4981,0.4988,0.3753,0.8375,0.8936,21,8,0.3144,0,1
0.2748,0.4943,0.4941,0.803,0.8915,22,4,0.3967,0,1
0.5433,0.5003,0.3957,0.8473,0.8461,23,0,0.3353,0,1
0.529375,0.501475,0.40275,0.85535,0.8514,24,0,0.0,0,1
0.564,0.5021,0.4836,0.8319,0.8355,25,0,0.4023,0,1
0.4668,0.4913,0.4621,0.8173,0.8444,26,0,0.3777,0,1
0.4116,0.499,0.5338,0.8197,0.8436,27,0,0.4376,0,1
0.4827,0.5028,0.365,0.8485,0.9047,28,8,0.3097,0,1
0.6518,0.5204,0.5383,0.8113,0.8034,29,4,0.4367,0,1
0.553625,0.42947499999999994,0.8464499999999999,0.70455,0.7549,30,0,0.0,0,1
