Unnamed: 0,x center,y center,width,height,confidence,ImageID,labelID,Area,boxID,Tag,Type,Signature,predTag,Train Comparison,Test Comparison
0,0.8796,0.5859,0.1535,0.1262,0.9091,0,0,0.0194,0,1,6,C,1,1.0,
5,0.1399,0.4084,0.1558,0.1295,0.9076,1,0,0.0202,0,1,6,C,1,1.0,
8,0.1384,0.4064,0.1541,0.1246,0.0018,1,12,0.0192,3,1,5,C,1,1.0,
10,0.1392,0.4084,0.1567,0.1256,0.0013,1,7,0.0197,5,1,5,C,1,1.0,
12,0.1387,0.4359,0.1588,0.1314,0.8993,2,0,0.0209,0,1,6,C,1,1.0,
17,0.1386,0.4367,0.1574,0.1297,0.001,2,7,0.0204,5,1,5,C,1,1.0,
18,0.2362,0.4645,0.2437,0.1928,0.7173,3,8,0.047,0,1,6,C,1,1.0,
23,0.7855,0.5174,0.2346,0.1694,0.868,5,8,0.0397,0,0,4,C,1,0.0,
29,0.7816,0.507,0.2442,0.2204,0.8743,6,0,0.0538,0,1,6,C,1,,1.0
32,0.7784,0.5086,0.2434,0.2233,0.0012,6,12,0.0543,3,1,5,C,1,1.0,
35,0.7746,0.5651,0.2609,0.3394,0.8935,7,0,0.0885,0,1,6,C,1,1.0,
39,0.1697,0.5252,0.1741,0.1554,0.9217,9,9,0.0271,0,1,1,C,1,1.0,
40,0.1559,0.3535,0.1765,0.1693,0.0877,9,9,0.0299,1,1,1,C,1,1.0,
41,0.0313,0.3951,0.0221,0.1434,0.0016,9,9,0.0032,2,1,1,C,1,1.0,
43,0.8599,0.498,0.1492,0.1188,0.9057,10,8,0.0177,0,1,6,C,1,1.0,
47,0.1386,0.4374,0.1454,0.1189,0.9111,11,8,0.0173,0,1,6,C,1,1.0,
50,0.1411,0.4535,0.1483,0.1203,0.8863,12,8,0.0178,0,1,6,C,1,1.0,
53,0.8435,0.5465,0.1447,0.1223,0.9278,13,8,0.0177,0,1,6,C,1,1.0,
57,0.8465,0.5285,0.1521,0.1187,0.9041,14,8,0.0181,0,1,6,C,1,1.0,
61,0.8748,0.5181,0.1466,0.1166,0.9126,15,8,0.0171,0,1,6,C,1,1.0,
66,0.1256,0.4576,0.1483,0.1208,0.9006,16,8,0.0179,0,1,6,C,1,1.0,
68,0.4048,0.4042,0.6086,0.6162,0.8399,17,0,0.375,0,1,6,C,1,,1.0
69,0.4716,0.4901,0.3748,0.8229,0.8643,18,4,0.3084,0,1,6,C,1,1.0,
71,0.4705,0.4838,0.335,0.7924,0.006,18,12,0.2655,2,0,4,C,1,0.0,
74,0.4705,0.4838,0.335,0.7924,0.0033,18,7,0.2655,5,0,4,C,1,0.0,
77,0.3245,0.4951,0.5504,0.8214,0.8042,19,0,0.4522,0,1,6,C,1,1.0,
79,0.5154,0.4935,0.4043,0.8173,0.8578,20,8,0.3304,0,1,6,C,1,1.0,
81,0.4981,0.4988,0.3753,0.8375,0.8936,21,8,0.3144,0,1,6,C,1,,1.0
82,0.2748,0.4943,0.4941,0.803,0.8915,22,4,0.3967,0,1,6,C,1,1.0,
87,0.5433,0.5003,0.3957,0.8473,0.8461,23,0,0.3353,0,1,6,C,1,1.0,
89,0.5315,0.5,0.3985,0.8524,0.8514,24,0,0.3396,0,1,6,C,1,,1.0
90,0.5315,0.5,0.3985,0.8524,0.0025,24,12,0.3396,1,1,5,C,1,1.0,
91,0.5281,0.5017,0.4002,0.8549,0.0014,24,7,0.3421,2,1,5,C,1,1.0,
93,0.564,0.5021,0.4836,0.8319,0.8355,25,0,0.4023,0,1,6,C,1,1.0,
94,0.4668,0.4913,0.4621,0.8173,0.8444,26,0,0.3777,0,1,6,C,1,1.0,
