x center,y center,width,height,ImageID,labelID,Area,boxID
0.8781,0.5823,0.1569,0.1225,0,0,0.0192,0
0.1391,0.4069,0.1566,0.1264,1,0,0.0198,0
0.1415,0.4368,0.1569,0.1299,2,0,0.0204,0
0.2358,0.4674,0.2558,0.2118,3,8,0.0542,0
0.3452,0.5299,0.5014,0.4018,4,5,0.2015,0
0.7861,0.5163,0.2457,0.1792,5,0,0.044,0
0.781,0.5081,0.2423,0.2172,6,0,0.0526,0
0.7743,0.5543,0.2692,0.3529,7,0,0.095,0
0.8197,0.557,0.313,0.2389,8,0,0.0748,0
0.1717,0.5244,0.17,0.1499,9,9,0.0255,0
0.8581,0.497,0.1507,0.1111,10,8,0.0167,0
0.1363,0.437,0.1507,0.1111,11,8,0.0167,0
0.1382,0.449,0.1507,0.1111,12,8,0.0167,0
0.8423,0.5495,0.1525,0.1201,13,8,0.0183,0
0.8367,0.5285,0.1525,0.1201,14,8,0.0183,0
0.8748,0.5195,0.1395,0.1081,15,8,0.0151,0
0.1179,0.4625,0.1398,0.1081,16,8,0.0151,0
0.4313,0.4113,0.6685,0.5616,17,0,0.3754,0
0.4699,0.4838,0.411,0.7922,18,4,0.3256,0
0.3596,0.4838,0.6115,0.7599,19,0,0.4647,0
0.51,0.5081,0.411,0.8084,20,8,0.3323,0
0.505,0.5081,0.4211,0.8084,21,8,0.3404,0
0.3095,0.523,0.4762,0.7833,22,4,0.373,0
0.566,0.5,0.3866,0.8365,23,0,0.3234,0
0.5236,0.5,0.3583,0.8365,24,0,0.2997,0
0.5519,0.4924,0.6035,0.7909,25,0,0.4773,0
0.5613,0.4924,0.4715,0.7909,25,0,0.3729,1
0.4567,0.4612,0.3848,0.7613,26,0,0.2929,0
0.4471,0.4922,0.5195,0.7923,26,0,0.4116,1
0.4381,0.4923,0.619,0.8,27,0,0.4952,0
0.4667,0.5,0.3524,0.8154,28,8,0.2873,0
0.6429,0.5308,0.5714,0.7538,29,4,0.4308,0
0.4592,0.4634,0.5805,0.5998,30,0,0.3482,0
0.5045,0.5512,0.5624,0.5121,31,0,0.288,0
0.4955,0.5585,0.6349,0.7315,31,0,0.4645,1
0.4326,0.5725,0.6559,0.6817,32,5,0.4471,0
0.5525,0.513,0.5569,0.6501,33,5,0.3621,0
0.4919,0.435,0.5973,0.4941,34,12,0.2951,0
0.4596,0.435,0.6134,0.6501,35,11,0.3988,0
0.5121,0.448,0.6538,0.4681,36,0,0.306,0
0.4072,0.474,0.7345,0.5201,37,11,0.382,0
0.5095,0.5,0.381,0.8298,38,8,0.3161,0
