ImageID,GT_labelID,Filtered_labelID,Result,GT_x_center,GT_y_center,GT_width,GT_height,GT_Area,GT_boxID,Filtered_x_center,Filtered_y_center,Filtered_width,Filtered_height,Filtered_Area,Unnamed: 0,x center,y center,width,height,confidence,labelID,Area,boxID,Tag,Type,Signature,predTag,Train Comparison,Test Comparison
0.0,0.0,0,same NG,0.8781,0.5823,0.1569,0.1225,0.0192,0.0,0.8796,0.5859,0.1535,0.1262,0.0194,0,0.8796,0.5859,0.1535,0.1262,0.9091,0,0.0194,0,1,6,C,1,1.0,
1.0,0.0,0,same NG,0.1391,0.4069,0.1566,0.1264,0.0198,0.0,0.1399,0.4084,0.1558,0.1295,0.0202,5,0.1399,0.4084,0.1558,0.1295,0.9076,0,0.0202,0,1,6,C,1,1.0,
1.0,0.0,12,same NG,0.1391,0.4069,0.1566,0.1264,0.0198,0.0,0.1399,0.4084,0.1558,0.1295,0.0202,8,0.1384,0.4064,0.1541,0.1246,0.0018,12,0.0192,3,1,5,C,1,1.0,
1.0,0.0,7,same NG,0.1391,0.4069,0.1566,0.1264,0.0198,0.0,0.1399,0.4084,0.1558,0.1295,0.0202,10,0.1392,0.4084,0.1567,0.1256,0.0013,7,0.0197,5,1,5,C,1,1.0,
2.0,0.0,0,same NG,0.1415,0.4368,0.1569,0.1299,0.0204,0.0,0.1387,0.4359,0.1588,0.1314,0.0209,12,0.1387,0.4359,0.1588,0.1314,0.8993,0,0.0209,0,1,6,C,1,1.0,
2.0,0.0,7,same NG,0.1415,0.4368,0.1569,0.1299,0.0204,0.0,0.1387,0.4359,0.1588,0.1314,0.0209,17,0.1386,0.4367,0.1574,0.1297,0.001,7,0.0204,5,1,5,C,1,1.0,
3.0,8.0,8,same NG,0.2358,0.4674,0.2558,0.2118,0.0542,0.0,0.2362,0.4645,0.2437,0.1928,0.047,18,0.2362,0.4645,0.2437,0.1928,0.7173,8,0.047,0,1,6,C,1,1.0,
5.0,0.0,8,wrong kill,0.7861,0.5163,0.2457,0.1792,0.044,0.0,0.7855,0.5174,0.2346,0.1694,0.0397,23,0.7855,0.5174,0.2346,0.1694,0.868,8,0.0397,0,0,4,C,1,0.0,
6.0,0.0,0,same NG,0.781,0.5081,0.2423,0.2172,0.0526,0.0,0.7816,0.507,0.2442,0.2204,0.0538,29,0.7816,0.507,0.2442,0.2204,0.8743,0,0.0538,0,1,6,C,1,,1.0
6.0,0.0,12,same NG,0.781,0.5081,0.2423,0.2172,0.0526,0.0,0.7816,0.507,0.2442,0.2204,0.0538,32,0.7784,0.5086,0.2434,0.2233,0.0012,12,0.0543,3,1,5,C,1,1.0,
7.0,0.0,0,same NG,0.7743,0.5543,0.2692,0.3529,0.095,0.0,0.7746,0.5651,0.2609,0.3394,0.0885,35,0.7746,0.5651,0.2609,0.3394,0.8935,0,0.0885,0,1,6,C,1,1.0,
9.0,9.0,9,same pass,0.1717,0.5244,0.17,0.1499,0.0255,0.0,0.1697,0.5252,0.1741,0.1554,0.0271,39,0.1697,0.5252,0.1741,0.1554,0.9217,9,0.0271,0,1,1,C,1,1.0,
9.0,9.0,9,same pass,0.1717,0.5244,0.17,0.1499,0.0255,0.0,0.1697,0.5252,0.1741,0.1554,0.0271,40,0.1559,0.3535,0.1765,0.1693,0.0877,9,0.0299,1,1,1,C,1,1.0,
9.0,9.0,9,same pass,0.1717,0.5244,0.17,0.1499,0.0255,0.0,0.1697,0.5252,0.1741,0.1554,0.0271,41,0.0313,0.3951,0.0221,0.1434,0.0016,9,0.0032,2,1,1,C,1,1.0,
9.0,9.0,9,same pass,0.1717,0.5244,0.17,0.1499,0.0255,0.0,0.1697,0.5252,0.1741,0.1554,0.0271,39,0.1697,0.5252,0.1741,0.1554,0.9217,9,0.0271,0,1,1,C,1,1.0,
9.0,9.0,9,same pass,0.1717,0.5244,0.17,0.1499,0.0255,0.0,0.1697,0.5252,0.1741,0.1554,0.0271,40,0.1559,0.3535,0.1765,0.1693,0.0877,9,0.0299,1,1,1,C,1,1.0,
9.0,9.0,9,same pass,0.1717,0.5244,0.17,0.1499,0.0255,0.0,0.1697,0.5252,0.1741,0.1554,0.0271,41,0.0313,0.3951,0.0221,0.1434,0.0016,9,0.0032,2,1,1,C,1,1.0,
9.0,9.0,9,same pass,0.1717,0.5244,0.17,0.1499,0.0255,0.0,0.1697,0.5252,0.1741,0.1554,0.0271,39,0.1697,0.5252,0.1741,0.1554,0.9217,9,0.0271,0,1,1,C,1,1.0,
9.0,9.0,9,same pass,0.1717,0.5244,0.17,0.1499,0.0255,0.0,0.1697,0.5252,0.1741,0.1554,0.0271,40,0.1559,0.3535,0.1765,0.1693,0.0877,9,0.0299,1,1,1,C,1,1.0,
9.0,9.0,9,same pass,0.1717,0.5244,0.17,0.1499,0.0255,0.0,0.1697,0.5252,0.1741,0.1554,0.0271,41,0.0313,0.3951,0.0221,0.1434,0.0016,9,0.0032,2,1,1,C,1,1.0,
10.0,8.0,8,same NG,0.8581,0.497,0.1507,0.1111,0.0167,0.0,0.8599,0.498,0.1492,0.1188,0.0177,43,0.8599,0.498,0.1492,0.1188,0.9057,8,0.0177,0,1,6,C,1,1.0,
11.0,8.0,8,same NG,0.1363,0.437,0.1507,0.1111,0.0167,0.0,0.1386,0.4374,0.1454,0.1189,0.0173,47,0.1386,0.4374,0.1454,0.1189,0.9111,8,0.0173,0,1,6,C,1,1.0,
12.0,8.0,8,same NG,0.1382,0.449,0.1507,0.1111,0.0167,0.0,0.1411,0.4535,0.1483,0.1203,0.0178,50,0.1411,0.4535,0.1483,0.1203,0.8863,8,0.0178,0,1,6,C,1,1.0,
13.0,8.0,8,same NG,0.8423,0.5495,0.1525,0.1201,0.0183,0.0,0.8435,0.5465,0.1447,0.1223,0.0177,53,0.8435,0.5465,0.1447,0.1223,0.9278,8,0.0177,0,1,6,C,1,1.0,
14.0,8.0,8,same NG,0.8367,0.5285,0.1525,0.1201,0.0183,0.0,0.8465,0.5285,0.1521,0.1187,0.0181,57,0.8465,0.5285,0.1521,0.1187,0.9041,8,0.0181,0,1,6,C,1,1.0,
15.0,8.0,8,same NG,0.8748,0.5195,0.1395,0.1081,0.0151,0.0,0.8748,0.5181,0.1466,0.1166,0.0171,61,0.8748,0.5181,0.1466,0.1166,0.9126,8,0.0171,0,1,6,C,1,1.0,
16.0,8.0,8,same NG,0.1179,0.4625,0.1398,0.1081,0.0151,0.0,0.1256,0.4576,0.1483,0.1208,0.0179,66,0.1256,0.4576,0.1483,0.1208,0.9006,8,0.0179,0,1,6,C,1,1.0,
17.0,0.0,0,same NG,0.4313,0.4113,0.6685,0.5616,0.3754,0.0,0.4048,0.4042,0.6086,0.6162,0.375,68,0.4048,0.4042,0.6086,0.6162,0.8399,0,0.375,0,1,6,C,1,,1.0
18.0,4.0,4,same NG,0.4699,0.4838,0.411,0.7922,0.3256,0.0,0.4716,0.4901,0.3748,0.8229,0.3084,69,0.4716,0.4901,0.3748,0.8229,0.8643,4,0.3084,0,1,6,C,1,1.0,
18.0,4.0,12,same NG,0.4699,0.4838,0.411,0.7922,0.3256,0.0,0.4716,0.4901,0.3748,0.8229,0.3084,71,0.4705,0.4838,0.335,0.7924,0.006,12,0.2655,2,0,4,C,1,0.0,
