Unnamed: 0,x center,y center,width,height,confidence,ImageID,labelID,Area,boxID,Tag,Type,Signature,predTag,Train Comparison,Test Comparison
0,0.8796,0.5859,0.1535,0.1262,0.9091,0,0,0.0194,0,1,6,C,1,1,
1,0.5255,0.4817,0.1612,0.1399,0.0178,0,0,0.0225,1,0,2,C,0,1,
2,0.8802,0.5864,0.1509,0.1253,0.0021,0,12,0.0189,2,1,5,C,0,0,
3,0.8795,0.5872,0.1529,0.1262,0.0013,0,8,0.0193,3,0,4,C,0,,1
4,0.8784,0.5873,0.1544,0.1269,0.0012,0,5,0.0196,4,0,4,C,0,1,
5,0.1399,0.4084,0.1558,0.1295,0.9076,1,0,0.0202,0,1,6,C,1,1,
6,0.4902,0.512,0.1582,0.1347,0.0097,1,0,0.0213,1,0,2,C,0,1,
7,0.1399,0.4072,0.1585,0.1254,0.002,1,8,0.0199,2,0,4,C,0,1,
8,0.1384,0.4064,0.1541,0.1246,0.0018,1,12,0.0192,3,1,5,C,1,1,
9,0.1374,0.4102,0.1595,0.1273,0.0016,1,1,0.0203,4,0,4,C,0,,1
10,0.1392,0.4084,0.1567,0.1256,0.0013,1,7,0.0197,5,1,5,C,1,1,
11,0.1399,0.4072,0.1585,0.1254,0.0012,1,5,0.0199,6,0,4,C,0,1,
12,0.1387,0.4359,0.1588,0.1314,0.8993,2,0,0.0209,0,1,6,C,1,1,
13,0.4928,0.5439,0.1637,0.1395,0.0103,2,0,0.0228,1,0,2,C,0,1,
14,0.1386,0.4353,0.157,0.1299,0.0019,2,12,0.0204,2,1,5,C,0,,0
15,0.1392,0.436,0.1596,0.1302,0.0015,2,8,0.0208,3,0,4,C,0,,1
16,0.1387,0.4364,0.1604,0.1301,0.0014,2,5,0.0209,4,0,4,C,0,1,
17,0.1386,0.4367,0.1574,0.1297,0.001,2,7,0.0204,5,1,5,C,1,1,
18,0.2362,0.4645,0.2437,0.1928,0.7173,3,8,0.047,0,1,6,C,1,1,
19,0.2371,0.4653,0.2388,0.1893,0.0589,3,12,0.0452,1,0,4,C,0,,1
20,0.2386,0.4654,0.2424,0.193,0.025,3,0,0.0468,2,0,4,C,0,1,
21,0.2386,0.4654,0.2424,0.193,0.0017,3,7,0.0468,3,0,4,C,0,1,
22,0.2361,0.4644,0.2446,0.1951,0.0012,3,9,0.0477,4,0,0,C,0,1,
23,0.7855,0.5174,0.2346,0.1694,0.868,5,8,0.0397,0,0,4,C,1,0,
24,0.5319,0.6638,0.1737,0.1319,0.1709,5,0,0.0229,1,0,2,C,0,1,
25,0.2319,0.4858,0.2466,0.1884,0.0404,5,8,0.0465,2,0,2,C,0,1,
26,0.5307,0.6616,0.1691,0.1347,0.0139,5,8,0.0228,3,0,2,C,0,1,
27,0.7844,0.5185,0.2333,0.1662,0.0072,5,0,0.0388,4,1,6,C,0,0,
28,0.7848,0.5187,0.2312,0.1685,0.0013,5,9,0.0389,5,0,0,C,0,1,
29,0.7816,0.507,0.2442,0.2204,0.8743,6,0,0.0538,0,1,6,C,1,,1
30,0.7784,0.5086,0.2434,0.2233,0.0378,6,5,0.0543,1,0,4,C,0,1,
31,0.2234,0.4909,0.2409,0.1733,0.0035,6,8,0.0417,2,0,2,C,0,1,
32,0.7784,0.5086,0.2434,0.2233,0.0012,6,12,0.0543,3,1,5,C,1,1,
33,0.7832,0.5099,0.2501,0.2175,0.0012,6,8,0.0544,4,0,4,C,0,1,
34,0.782,0.5088,0.2529,0.2205,0.0011,6,9,0.0558,5,0,0,C,0,,1
35,0.7746,0.5651,0.2609,0.3394,0.8935,7,0,0.0885,0,1,6,C,1,1,
36,0.2213,0.4895,0.2325,0.1758,0.2408,8,8,0.0409,0,0,2,C,0,,1
37,0.5206,0.6679,0.1756,0.1252,0.0132,8,0,0.022,1,0,2,C,0,1,
38,0.5244,0.6672,0.173,0.1278,0.0015,8,8,0.0221,2,0,2,C,0,1,
39,0.1697,0.5252,0.1741,0.1554,0.9217,9,9,0.0271,0,1,1,C,1,1,
40,0.1559,0.3535,0.1765,0.1693,0.0877,9,9,0.0299,1,1,1,C,1,1,
41,0.0313,0.3951,0.0221,0.1434,0.0016,9,9,0.0032,2,1,1,C,1,1,
42,0.1698,0.5252,0.171,0.1532,0.0011,9,1,0.0262,3,0,2,C,0,1,
43,0.8599,0.498,0.1492,0.1188,0.9057,10,8,0.0177,0,1,6,C,1,1,
44,0.2161,0.4966,0.3921,0.6703,0.0022,10,5,0.2628,1,0,2,C,0,1,
45,0.8634,0.7776,0.1116,0.0992,0.0013,10,8,0.0111,2,0,2,C,0,1,
