ImageID,boxID_p,labelID_p,predTag_p,x_center_p,y_center_p,width_p,height_p,confidence,judge
0,0.0,0.0,1.0,0.8796,0.5859,0.1535,0.1262,0.9091,same NG
1,0.0,0.0,1.0,0.1393249999999999,0.4084,0.15695,0.1294999999999999,0.9076,same NG
2,0.0,0.0,1.0,0.1387,0.4359,0.1588,0.1314,0.8993,same NG
3,0.0,8.0,1.0,0.2362,0.4645,0.2437,0.1928,0.7173,same NG
5,0.0,8.0,1.0,0.7855,0.5174,0.2346,0.1694,0.868,wrongkill
6,0.0,0.0,1.0,0.7802,0.508525,0.247,0.2234500000000001,0.8743,same NG
7,0.0,0.0,1.0,0.7746,0.5651,0.2609,0.3394,0.8935,same NG
10,0.0,8.0,1.0,0.8599,0.498,0.1492,0.1188,0.9057,same NG
11,0.0,8.0,1.0,0.1386,0.4374,0.1454,0.1189,0.9111,same NG
12,0.0,8.0,1.0,0.1411,0.4535,0.1483,0.1203,0.8863,same NG
13,0.0,8.0,1.0,0.8435,0.5465,0.1447,0.1223,0.9278,same NG
14,0.0,8.0,1.0,0.8465,0.5285,0.1521,0.1187,0.9041,same NG
15,0.0,8.0,1.0,0.8748,0.5181,0.1466,0.1166,0.9126,same NG
16,0.0,8.0,1.0,0.1256,0.4576,0.1483,0.1208,0.9006,same NG
17,0.0,0.0,1.0,0.4048,0.4042,0.6086,0.6162,0.8399,same NG
18,0.0,4.0,1.0,0.4716,0.4901,0.3748,0.8229,0.8643,same NG
19,0.0,0.0,1.0,0.3245,0.4951,0.5504,0.8214,0.8042,same NG
20,0.0,8.0,1.0,0.5154,0.4935,0.4043,0.8173,0.8578,same NG
21,0.0,8.0,1.0,0.4981,0.4988,0.3753,0.8375,0.8936,same NG
22,0.0,4.0,1.0,0.2748,0.4943,0.4941,0.803,0.8915,same NG
23,0.0,0.0,1.0,0.5433,0.5003,0.3957,0.8473,0.8461,same NG
24,0.0,0.0,1.0,0.529375,0.501475,0.40275,0.85535,0.8514,same NG
25,0.0,0.0,1.0,0.564,0.5021,0.4836,0.8319,0.8355,same NG
26,0.0,0.0,1.0,0.4668,0.4913,0.4621,0.8173,0.8444,same NG
27,0.0,0.0,1.0,0.4116,0.499,0.5338,0.8197,0.8436,same NG
28,0.0,8.0,1.0,0.4827,0.5028,0.365,0.8485,0.9047,same NG
29,0.0,4.0,1.0,0.6518,0.5204,0.5383,0.8113,0.8034,same NG
30,0.0,0.0,1.0,0.553625,0.4294749999999999,0.8464499999999999,0.70455,0.7549,same NG
31,0.0,0.0,1.0,0.4915,0.5686,0.6394,0.6454,0.8291,same NG
32,0.0,5.0,1.0,0.4459,0.5911,0.5714,0.6677,0.6979,same NG
33,0.0,0.0,1.0,0.5578,0.4914,0.6045,0.653,0.6076,wrongkill
34,0.0,12.0,1.0,0.4914,0.4465,0.6414,0.5424,0.8477,same NG
35,0.0,0.0,1.0,0.4511,0.4397,0.5703,0.6806000000000001,0.8614,wrongkill
36,0.0,0.0,1.0,0.4947,0.4461,0.6857,0.521,0.84,same NG
37,0.0,11.0,1.0,0.2762,0.4226,0.4638,0.6572,0.2387,same NG
38,0.0,8.0,1.0,0.4984,0.4988,0.3629,0.8548,0.9119,same NG
39,0.0,8.0,1.0,0.4966,0.5022,0.3854,0.8546,0.9089,same NG
40,0.0,8.0,1.0,0.497,0.498,0.3761,0.8617,0.902,same NG
41,0.0,8.0,1.0,0.5227,0.5029,0.3867,0.8644,0.901,same NG
42,0.0,8.0,1.0,0.463,0.502,0.3598,0.8512,0.9001,same NG
43,0.0,8.0,1.0,0.4829,0.4994,0.3678,0.8528,0.8975,same NG
44,0.0,8.0,1.0,0.4816,0.4975,0.354,0.8525,0.8754,same NG
45,0.0,8.0,1.0,0.491,0.5048,0.3672,0.859,0.904,same NG
46,0.0,8.0,1.0,0.4723,0.5006,0.3459,0.8529,0.9037,same NG
47,0.0,4.0,1.0,0.3584,0.4981,0.5501,0.8756,0.7131,same NG
48,0.0,8.0,1.0,0.5189,0.5012,0.3598,0.8613,0.9067,same NG
49,3.0,12.0,1.0,0.5211,0.4691,0.7683,0.6239,0.0112,wrongkill
50,0.0,8.0,1.0,0.4531,0.5032,0.3693,0.8552,0.9113,same NG
51,0.0,8.0,1.0,0.4431,0.5018,0.3841,0.8676,0.911,same NG
52,0.0,8.0,1.0,0.489,0.5061,0.3832,0.8646,0.9018,same NG
53,0.0,0.0,1.0,0.5803,0.4169,0.5924,0.6757,0.7428,same NG
54,0.0,4.0,1.0,0.3434,0.4942,0.5672,0.8446,0.8728,same NG
55,0.0,7.0,1.0,0.58845,0.4479,0.7817000000000001,0.6216,0.4894,wrongkill
56,0.0,7.0,1.0,0.5097,0.4964,0.6582,0.6773,0.7517,wrongkill
57,0.0,0.0,1.0,0.4961,0.4328499999999999,0.5831,0.7864,0.8743,same NG
58,0.0,11.0,1.0,0.594225,0.45985,0.7504500000000001,0.7634999999999998,0.5006,same NG
59,0.0,5.0,1.0,0.5143,0.4948249999999999,0.6952,0.74855,0.4458,overkill
60,0.0,8.0,1.0,0.4604,0.5115,0.3683,0.8848,0.9059,same NG
61,0.0,5.0,1.0,0.4467,0.5227,0.3555,0.8275,0.7431,same NG
62,0.0,5.0,1.0,0.4395,0.5039,0.4244,0.8609,0.7687,same NG
63,0.0,4.0,1.0,0.3496,0.50145,0.5955000000000001,0.8891,0.8763,same NG
64,0.0,5.0,1.0,0.4906,0.524675,0.6559,0.7121499999999998,0.5313,same NG
65,0.0,8.0,1.0,0.514,0.5242,0.603,0.5041,0.8735,same NG
66,0.0,8.0,1.0,0.5239,0.6292,0.6186,0.494,0.804,same NG
67,0.0,8.0,1.0,0.4116,0.6014,0.6082,0.4873,0.8824,same NG
68,0.0,8.0,1.0,0.5873,0.5087,0.6138,0.4797,0.9053,same NG
69,0.0,8.0,1.0,0.5991,0.4326,0.597,0.4631,0.9021,same NG
70,0.0,11.0,1.0,0.2274,0.482775,0.3943,0.66795,0.8889,same NG
71,0.0,11.0,1.0,0.2144,0.46995,0.4066,0.6776000000000001,0.9003,same NG
72,0.0,11.0,1.0,0.2369,0.5169,0.4389,0.7294,0.8663,same NG
73,0.0,4.0,1.0,0.457875,0.484575,0.87405,0.76555,0.0042,wrongkill
74,0.0,4.0,1.0,0.3058,0.4957749999999999,0.5461,0.90955,0.8306,same NG
75,0.0,4.0,1.0,0.3772,0.4948749999999999,0.5905,0.91225,0.5389,wrongkill
77,0.0,5.0,1.0,0.5145,0.480775,0.3782,0.87415,0.7649,same NG
78,0.0,4.0,1.0,0.368,0.5024,0.6194,0.9319,0.652,same NG
79,0.0,5.0,1.0,0.509,0.4886,0.368,0.8514,0.7876,same NG
80,0.0,0.0,1.0,0.5416,0.5017,0.3499,0.9043,0.8827,same NG
81,0.0,8.0,1.0,0.5361,0.5013,0.2862,0.8799,0.9288,same NG
82,0.0,11.0,1.0,0.2221,0.4788749999999999,0.3917,0.67435,0.8981,same NG
83,0.0,11.0,1.0,0.2076,0.47895,0.388,0.6695,0.9084,same NG
84,0.0,11.0,1.0,0.227,0.5063,0.4,0.6869000000000001,0.8986,same NG
85,0.0,4.0,1.0,0.5288,0.5003,0.3499,0.8824000000000001,0.8954,same NG
86,0.0,8.0,1.0,0.6733,0.57125,0.5992999999999999,0.8035,0.8854,same NG
87,0.0,8.0,1.0,0.5327,0.4924,0.37,0.8997,0.8927,same NG
88,0.0,11.0,1.0,0.2265,0.5162,0.4107,0.6920999999999999,0.888,same NG
89,0.0,11.0,1.0,0.229,0.4868499999999999,0.4006,0.6650999999999999,0.8884,same NG
90,0.0,11.0,1.0,0.2337,0.5143,0.4168,0.6738,0.8811,same NG
91,0.0,8.0,1.0,0.4746,0.5179,0.2881,0.8734,0.8889,same NG
92,0.0,4.0,1.0,0.6116,0.5099,0.6313,0.8656,0.7926,same NG
93,0.0,11.0,1.0,0.359925,0.6926,0.6176499999999999,0.5347,0.7456,wrongkill
94,0.0,4.0,1.0,0.3359499999999999,0.5011,0.5658000000000001,0.8701999999999999,0.8667,same NG
95,0.0,8.0,1.0,0.4852,0.5063,0.3965,0.913,0.9068,same NG
96,0.0,8.0,1.0,0.4796,0.5161,0.3402,0.8892,0.8736,same NG
97,0.0,11.0,1.0,0.3663,0.279,0.6561,0.5252999999999999,0.732,same NG
99,0.0,5.0,1.0,0.4599,0.5037,0.4299,0.8689,0.5348,same NG
100,0.0,5.0,1.0,0.5162,0.4987,0.3956,0.8951,0.7345,same NG
101,0.0,8.0,1.0,0.4901,0.5077,0.3634,0.9056,0.9067,same NG
102,0.0,5.0,1.0,0.4163,0.4933,0.468,0.89,0.7202,same NG
103,0.0,5.0,1.0,0.617875,0.487025,0.75415,0.90215,0.747,same NG
104,0.0,11.0,1.0,0.4004,0.4893,0.5913000000000002,0.8761,0.2719,same NG
