ImageID,boxID_p,labelID_p,predTag_p,x_center_p,y_center_p,width_p,height_p,confidence,judge
0,0,0,1,0.8796,0.5859,0.1535,0.1262,0.9091,same NG
1,0,0,1,0.1399,0.4084,0.1558,0.1295,0.9076,same NG
1,3,12,1,0.1384,0.4064,0.1541,0.1246,0.0018,wrongkill
1,5,7,1,0.1392,0.4084,0.1567,0.1256,0.0013,wrongkill
2,0,0,1,0.1387,0.4359,0.1588,0.1314,0.8993,same NG
2,5,7,1,0.1386,0.4367,0.1574,0.1297,0.001,wrongkill
3,0,8,1,0.2362,0.4645,0.2437,0.1928,0.7173,same NG
5,0,8,1,0.7855,0.5174,0.2346,0.1694,0.868,wrongkill
6,0,0,1,0.7816,0.507,0.2442,0.2204,0.8743,same NG
6,3,12,1,0.7784,0.5086,0.2434,0.2233,0.0012,wrongkill
7,0,0,1,0.7746,0.5651,0.2609,0.3394,0.8935,same NG
10,0,8,1,0.8599,0.498,0.1492,0.1188,0.9057,same NG
11,0,8,1,0.1386,0.4374,0.1454,0.1189,0.9111,same NG
12,0,8,1,0.1411,0.4535,0.1483,0.1203,0.8863,same NG
13,0,8,1,0.8435,0.5465,0.1447,0.1223,0.9278,same NG
14,0,8,1,0.8465,0.5285,0.1521,0.1187,0.9041,same NG
15,0,8,1,0.8748,0.5181,0.1466,0.1166,0.9126,same NG
16,0,8,1,0.1256,0.4576,0.1483,0.1208,0.9006,same NG
17,0,0,1,0.4048,0.4042,0.6086,0.6162,0.8399,same NG
18,0,4,1,0.4716,0.4901,0.3748,0.8229,0.8643,same NG
18,2,12,1,0.4705,0.4838,0.335,0.7924,0.006,wrongkill
18,5,7,1,0.4705,0.4838,0.335,0.7924,0.0033,wrongkill
19,0,0,1,0.3245,0.4951,0.5504,0.8214,0.8042,same NG
20,0,8,1,0.5154,0.4935,0.4043,0.8173,0.8578,same NG
21,0,8,1,0.4981,0.4988,0.3753,0.8375,0.8936,same NG
22,0,4,1,0.2748,0.4943,0.4941,0.803,0.8915,same NG
23,0,0,1,0.5433,0.5003,0.3957,0.8473,0.8461,same NG
24,0,0,1,0.5315,0.5,0.3985,0.8524,0.8514,same NG
24,1,12,1,0.5315,0.5,0.3985,0.8524,0.0025,wrongkill
24,2,7,1,0.5281,0.5017,0.4002,0.8549,0.0014,wrongkill
25,0,0,1,0.564,0.5021,0.4836,0.8319,0.8355,same NG
26,0,0,1,0.4668,0.4913,0.4621,0.8173,0.8444,same NG
27,0,0,1,0.4116,0.499,0.5338,0.8197,0.8436,same NG
28,0,8,1,0.4827,0.5028,0.365,0.8485,0.9047,same NG
29,0,4,1,0.6518,0.5204,0.5383,0.8113,0.8034,same NG
30,0,0,1,0.4549,0.4688,0.649,0.6259,0.7549,same NG
31,0,0,1,0.4915,0.5686,0.6394,0.6454,0.8291,same NG
32,0,5,1,0.4459,0.5911,0.5714,0.6677,0.6979,same NG
33,0,0,1,0.5579,0.4914,0.6003,0.6517,0.6076,wrongkill
33,4,7,1,0.5578,0.4914,0.6045,0.653,0.0012,wrongkill
34,0,12,1,0.4914,0.4465,0.6414,0.5424,0.8477,same NG
35,0,0,1,0.4509,0.4397,0.5675,0.6792,0.8614,wrongkill
35,2,2,1,0.4511,0.4397,0.5703,0.6806,0.0013,wrongkill
36,0,0,1,0.4947,0.4461,0.6857,0.521,0.84,same NG
36,1,7,1,0.4947,0.4461,0.6857,0.521,0.0024,wrongkill
37,0,11,1,0.2766,0.4231,0.4621,0.6556,0.2387,same NG
37,4,2,1,0.2762,0.4226,0.4638,0.6572,0.002,wrongkill
38,0,8,1,0.4984,0.4988,0.3629,0.8548,0.9119,same NG
39,0,8,1,0.4966,0.5022,0.3854,0.8546,0.9089,same NG
40,0,8,1,0.497,0.498,0.3761,0.8617,0.902,same NG
41,0,8,1,0.5227,0.5029,0.3867,0.8644,0.901,same NG
42,0,8,1,0.463,0.502,0.3598,0.8512,0.9001,same NG
43,0,8,1,0.4829,0.4994,0.3678,0.8528,0.8975,same NG
44,0,8,1,0.4816,0.4975,0.354,0.8525,0.8754,same NG
45,0,8,1,0.491,0.5048,0.3672,0.859,0.904,same NG
46,0,8,1,0.4723,0.5006,0.3459,0.8529,0.9037,same NG
47,0,4,1,0.3584,0.4981,0.5501,0.8756,0.7131,same NG
48,0,8,1,0.5189,0.5012,0.3598,0.8613,0.9067,same NG
49,3,12,1,0.5211,0.4691,0.7683,0.6239,0.0112,wrongkill
50,0,8,1,0.4531,0.5032,0.3693,0.8552,0.9113,same NG
51,0,8,1,0.4431,0.5018,0.3841,0.8676,0.911,same NG
52,0,8,1,0.489,0.5061,0.3832,0.8646,0.9018,same NG
53,0,0,1,0.5803,0.4169,0.5924,0.6757,0.7428,same NG
54,0,4,1,0.3434,0.4942,0.5672,0.8446,0.8728,same NG
54,1,11,1,0.3432,0.4924,0.5631,0.8404,0.0027,wrongkill
55,0,7,1,0.5141,0.4479,0.633,0.6216,0.4894,wrongkill
55,3,12,1,0.7396,0.4751,0.4794,0.5616,0.0069,wrongkill
56,0,7,1,0.5097,0.4964,0.6582,0.6773,0.7517,wrongkill
57,0,0,1,0.4961,0.4573,0.5831,0.7375,0.8743,same NG
57,1,11,1,0.6026,0.1901,0.3227,0.3009,0.2033,same NG
57,6,2,1,0.6026,0.1901,0.3227,0.3009,0.0017,wrongkill
58,0,11,1,0.7911,0.4079,0.3472,0.6483,0.5006,same NG
58,5,2,1,0.8031,0.3746,0.3327,0.593,0.0036,wrongkill
59,0,5,1,0.5143,0.4963,0.6952,0.7456,0.4458,overkill
60,0,8,1,0.4604,0.5115,0.3683,0.8848,0.9059,same NG
61,0,5,1,0.4467,0.5227,0.3555,0.8275,0.7431,same NG
62,0,5,1,0.4395,0.5039,0.4244,0.8609,0.7687,same NG
63,0,4,1,0.3497,0.5015,0.5942,0.889,0.8763,same NG
63,2,11,1,0.3496,0.5008,0.5955,0.8878,0.0019,wrongkill
64,0,5,1,0.486,0.5157,0.6467,0.6942,0.5313,same NG
64,2,7,1,0.4914,0.5257,0.6543,0.7101,0.0571,wrongkill
65,0,8,1,0.514,0.5242,0.603,0.5041,0.8735,same NG
66,0,8,1,0.5239,0.6292,0.6186,0.494,0.804,same NG
67,0,8,1,0.4116,0.6014,0.6082,0.4873,0.8824,same NG
68,0,8,1,0.5873,0.5087,0.6138,0.4797,0.9053,same NG
69,0,8,1,0.5991,0.4326,0.597,0.4631,0.9021,same NG
70,0,11,1,0.2272,0.4827,0.3932,0.6678,0.8889,same NG
70,1,2,1,0.2272,0.4827,0.3932,0.6678,0.0081,wrongkill
70,2,4,1,0.2274,0.4833,0.3943,0.6669,0.0015,wrongkill
71,0,11,1,0.215,0.4742,0.399,0.6691,0.9003,same NG
71,1,2,1,0.215,0.4742,0.399,0.6691,0.0087,wrongkill
71,2,4,1,0.2144,0.4692,0.4066,0.6761,0.0015,wrongkill
72,0,11,1,0.2364,0.5144,0.4213,0.7157,0.8663,same NG
72,1,2,1,0.2373,0.5168,0.4371,0.7262,0.0095,wrongkill
72,2,4,1,0.2369,0.5169,0.4389,0.7294,0.0016,wrongkill
73,6,4,1,0.2278,0.5546,0.4139,0.6255,0.0042,wrongkill
73,13,2,1,0.6871,0.4547,0.4156,0.7058,0.0012,wrongkill
74,0,4,1,0.3059,0.4958,0.5446,0.9095,0.8306,same NG
74,2,11,1,0.3058,0.4951,0.5461,0.9082,0.0018,wrongkill
